Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage614],[55564],[66009],1937,,,
[Mariage615],[66011],[66012],,,,
[Mariage616],[55588],[66015],1890,,,
[Mariage617],[55590],[66018],1937,,,
[Mariage618],[66017],[50291],1980,,,
[Mariage619],[55611],[66021],1916,,,
[Mariage620],[66023],[66024],1876,,,
[Mariage621],[66027],[66028],,,,
[Mariage622],[66029],[66030],,,,
[Mariage623],[66029],[66031],1849,,,
[Mariage624],[66032],[66033],,,,
[Mariage625],[55615],[66034],1937,,,
[Mariage626],[66036],[66037],,,,
[Mariage627],[61622],[66038],1957,,,
[Mariage628],[64113],[66040],,,,
[Mariage629],[55847],[66042],1880,,,
[Mariage630],[66045],[66044],,,,
[Mariage631],[66048],[66047],1831,,,
[Mariage632],[66051],[66052],,,,
[Mariage633],[66053],[66054],,,,
[Mariage634],[51563],[66055],1910,,,
[Mariage635],[56184],[66056],1937,,,
[Mariage636],[55616],[66058],1913,,,
[Mariage637],[55634],[66061],1903,,,
[Mariage638],[51605],[66062],1869,,,
[Mariage639],[66066],[66067],1871,,,
[Mariage640],[66069],[66070],1850,,,
[Mariage641],[66072],[66073],,,,
[Mariage642],[55881],[66076],1899,,,
[Mariage643],[55881],[66078],1928,,,
[Mariage644],[66080],[66081],1884,,,
[Mariage645],[55718],[66082],1908,,,
[Mariage646],[58686],[66084],1941,,,
[Mariage647],[66085],[66086],,,,
[Mariage648],[55749],[66088],1910,,,
[Mariage649],[51411],[66090],1904-02-15,,,
[Mariage650],[66091],[66092],,,,
[Mariage651],[63733],[66093],1862,,,
[Mariage652],[55758],[66095],1894,,,
[Mariage653],[66097],[66099],1902,,,
[Mariage654],[66098],[66101],1836,,,
[Mariage655],[50810],[66102],1878,,,
[Mariage656],[52260],[66103],1901-08-28,,,
[Mariage657],[50691],[66104],1895,,,
[Mariage658],[66106],[66107],,,,
[Mariage659],[55763],[66108],1910,,,
[Mariage660],[55763],[66111],,,,
[Mariage661],[51972],[66114],1884-10-01,,,
[Mariage662],[66115],[66116],,,,
[Mariage663],[66113],[66118],,,,
[Mariage664],[66113],[66120],,,,
[Mariage665],[66122],[66123],,,,
[Mariage666],[66124],[66125],,,,
[Mariage667],[55776],[66126],1889,,,
[Mariage668],[52668],[66129],1928,,,
[Mariage669],[66131],[66133],,,,
[Mariage670],[66134],[66135],,,,
[Mariage671],[66136],[66138],,,,
[Mariage672],[53017],[66137],1901,,,
[Mariage673],[52264],[66139],1891-09-30,,,
[Mariage674],[66141],[66140],,,,
[Mariage675],[66142],[66143],,,,
[Mariage676],[66144],[66145],,,,
[Mariage677],[55779],[66148],1910,,,
[Mariage678],[66151],[66152],1946,,,
[Mariage679],[55960],[66153],1870,,,
[Mariage680],[66155],[66154],,,,
[Mariage681],[66157],[66158],,,,
[Mariage682],[52327],[66160],1937,,,
